Metric,AI Mean,AI Median,AI Q1,AI Q3,Human Mean,Human Median,Human Q1,Human Q3,Diff (AI−Human) Mean,Diff (AI−Human) Median,% Diff Mean
Lines Added,736.5363636363636,48.0,9.25,214.75,632.530303030303,56.0,10.0,256.0,104.0060606060606,-8.0,16.44
Lines Removed,467.6969696969697,4.0,1.0,20.0,201.45757575757577,9.0,2.0,47.75,266.23939393939395,-5.0,132.16
Commits,4.912121212121212,3.0,1.0,6.0,4.9818181818181815,2.0,1.0,4.75,-0.06969696969696937,1.0,-1.4
Review Submissions,2.815151515151515,1.0,0.0,3.0,2.3878787878787877,1.0,0.0,2.0,0.42727272727272725,0.0,17.89
Human Review Submissions,1.8272727272727274,1.0,0.0,2.0,1.8575757575757577,1.0,0.0,2.0,-0.030303030303030276,0.0,-1.63
Bot Review Submissions,0.9878787878787879,0.0,0.0,1.0,0.5303030303030303,0.0,0.0,1.0,0.45757575757575764,0.0,86.29
Inline Code Comments,2.1363636363636362,0.0,0.0,2.0,2.481818181818182,0.0,0.0,2.0,-0.3454545454545457,0.0,-13.92
Human Inline Comments,1.1484848484848484,0.0,0.0,1.0,1.5727272727272728,0.0,0.0,0.0,-0.4242424242424243,0.0,-26.97
Discussion Comments,3.6636363636363636,2.0,1.0,4.0,1.7636363636363637,1.0,0.0,2.0,1.9,1.0,107.73
Human Discussion Comments,1.284848484848485,0.0,0.0,1.0,0.7,0.0,0.0,0.0,0.584848484848485,0.0,83.55
Total Comments (inline + discussion),5.8,2.0,1.0,6.0,4.245454545454545,1.0,0.0,5.0,1.5545454545454547,1.0,36.62
Total Comment Words,667.8,172.0,34.75,591.0,626.3969696969697,88.0,0.0,456.0,41.40303030303028,84.0,6.61
Inline Comment Words,77.61515151515151,0.0,0.0,36.5,130.6,0.0,0.0,38.0,-52.984848484848484,0.0,-40.57
Discussion Comment Words,451.3818181818182,104.0,2.25,398.5,283.5181818181818,52.5,0.0,147.75,167.86363636363637,51.5,59.21
Unique Human Reviewers,1.1727272727272726,1.0,0.0,2.0,1.1272727272727272,1.0,0.0,2.0,0.045454545454545414,0.0,4.03
Approvals,0.7545454545454545,0.0,0.0,1.0,0.603030303030303,1.0,0.0,1.0,0.1515151515151515,-1.0,25.13
Changes Requested,0.06363636363636363,0.0,0.0,0.0,0.03939393939393939,0.0,0.0,0.0,0.02424242424242424,0.0,61.54
Review Rounds,0.06363636363636363,0.0,0.0,0.0,0.03939393939393939,0.0,0.0,0.0,0.02424242424242424,0.0,61.54
