repo,pr,author_type,dominant_language,task_type,agent
liam-hq/liam,2224,AI,TypeScript,feat,Claude_Code
liam-hq/liam,2258,Human,Other,feat,
Shopify/roast,76,AI,Ruby,feat,Claude_Code
Shopify/roast,266,Human,Ruby,feat,
mlflow/mlflow,16449,AI,Python,fix,Claude_Code
mlflow/mlflow,16458,Human,Other,fix,
Significant-Gravitas/AutoGPT,10340,AI,TypeScript,feat,Claude_Code
Significant-Gravitas/AutoGPT,10196,Human,TypeScript,feat,
jlowin/fastmcp,870,AI,Other,feat,Claude_Code
jlowin/fastmcp,748,Human,Python,feat,
liam-hq/liam,2454,AI,Other,feat,Claude_Code
liam-hq/liam,2084,Human,TypeScript,feat,
Shopify/roast,244,AI,Other,feat,Claude_Code
Shopify/roast,74,Human,Ruby,feat,
rishikanthc/Scriberr,70,AI,TypeScript,fix,Claude_Code
rishikanthc/Scriberr,77,Human,TypeScript,fix,
elizaOS/eliza,5490,AI,TypeScript,fix,Claude_Code
elizaOS/eliza,5091,Human,TypeScript,fix,
elizaOS/eliza,5565,AI,TypeScript,feat,Claude_Code
elizaOS/eliza,5167,Human,TypeScript,feat,
sam-goodwin/alchemy,406,AI,TypeScript,feat,Claude_Code
sam-goodwin/alchemy,280,Human,TypeScript,feat,
oven-sh/bun,20698,AI,TypeScript,fix,Claude_Code
oven-sh/bun,20309,Human,TypeScript,fix,
razimantv/mazegenerator,13,AI,C++,feat,Claude_Code
razimantv/mazegenerator,12,Human,C++,feat,
BeehiveInnovations/zen-mcp-server,62,AI,Python,fix,Claude_Code
BeehiveInnovations/zen-mcp-server,2,Human,Python,fix,
mlflow/mlflow,16758,AI,Python,feat,Claude_Code
mlflow/mlflow,16340,Human,Python,feat,
mlflow/mlflow,16442,AI,Python,feat,Claude_Code
mlflow/mlflow,16125,Human,Other,feat,
567-labs/instructor,1729,AI,Python,fix,Claude_Code
567-labs/instructor,1625,Human,Other,fix,
elizaOS/eliza,4935,AI,TypeScript,fix,Claude_Code
elizaOS/eliza,4962,Human,TypeScript,fix,
busser/tfautomv,107,AI,Go,feat,Claude_Code
busser/tfautomv,113,Human,Other,feat,
mlflow/mlflow,16658,AI,Python,feat,Claude_Code
mlflow/mlflow,16271,Human,Python,feat,
liam-hq/liam,2156,AI,Other,feat,Claude_Code
liam-hq/liam,2231,Human,Other,feat,
elizaOS/eliza,5489,AI,TypeScript,feat,Claude_Code
elizaOS/eliza,5186,Human,TypeScript,feat,
remotion-dev/remotion,5463,AI,TypeScript,feat,Copilot
remotion-dev/remotion,5349,Human,TypeScript,feat,
microsoft/perfview,2232,AI,C#,fix,Copilot
microsoft/perfview,2201,Human,Other,fix,
mlflow/mlflow,15993,AI,Other,fix,Copilot
mlflow/mlflow,15809,Human,Python,fix,
rqlite/rqlite,2112,AI,Go,feat,Copilot
rqlite/rqlite,2126,Human,Go,feat,
mlflow/mlflow,16080,AI,Python,feat,Copilot
mlflow/mlflow,16059,Human,Python,feat,
microsoft/vscode,250771,AI,TypeScript,feat,Copilot
microsoft/vscode,248852,Human,TypeScript,feat,
microsoft/vscode,255415,AI,TypeScript,fix,Copilot
microsoft/vscode,251374,Human,TypeScript,fix,
mlflow/mlflow,16191,AI,Python,fix,Copilot
mlflow/mlflow,15746,Human,Python,fix,
remotion-dev/remotion,5371,AI,Other,feat,Copilot
remotion-dev/remotion,5438,Human,TypeScript,feat,
microsoft/vscode,251027,AI,TypeScript,fix,Copilot
microsoft/vscode,250739,Human,TypeScript,fix,
dotnet/aspire,9995,AI,C#,feat,Copilot
dotnet/aspire,9779,Human,C#,feat,
remotion-dev/remotion,5400,AI,TypeScript,feat,Copilot
remotion-dev/remotion,5420,Human,TypeScript,feat,
mlflow/mlflow,15839,AI,Python,feat,Copilot
mlflow/mlflow,15834,Human,Python,feat,
microsoft/vscode,250730,AI,TypeScript,fix,Copilot
microsoft/vscode,249363,Human,TypeScript,fix,
microsoft/typescript-go,1142,AI,Go,fix,Copilot
microsoft/typescript-go,1204,Human,Go,fix,
dotnet/macios,22840,AI,C#,feat,Copilot
dotnet/macios,23044,Human,C#,feat,
microsoft/Olive,1907,AI,Python,feat,Copilot
microsoft/Olive,1922,Human,Other,feat,
microsoft/vscode,250784,AI,TypeScript,fix,Copilot
microsoft/vscode,248855,Human,Other,fix,
microsoft/vscode,252405,AI,TypeScript,fix,Copilot
microsoft/vscode,250559,Human,TypeScript,fix,
microsoft/ApplicationInsights-JS,2535,AI,TypeScript,fix,Copilot
microsoft/ApplicationInsights-JS,2514,Human,TypeScript,fix,
dotnet/aspnetcore,62004,AI,Other,fix,Copilot
dotnet/aspnetcore,62087,Human,Other,fix,
dotnet/aspire,10064,AI,C#,fix,Copilot
dotnet/aspire,9958,Human,C#,fix,
dotnet/runtime,116042,AI,C#,fix,Copilot
dotnet/runtime,115528,Human,C++,fix,
mlflow/mlflow,15856,AI,Python,feat,Copilot
mlflow/mlflow,15985,Human,Python,feat,
go-vikunja/vikunja,1154,AI,Go,fix,Copilot
go-vikunja/vikunja,1036,Human,Other,fix,
dotnet/aspire,9753,AI,Other,feat,Copilot
dotnet/aspire,9191,Human,C#,feat,
microsoft/vscode,254676,AI,Rust,fix,Copilot
