repo,pr,type,added,churned,events,ratio
antiwork/flexile,446,AI,1,1,1,1.0
antiwork/flexile,373,Human,525,238,61,0.4533333333333333
antiwork/flexile,178,AI,22,22,2,1.0
antiwork/flexile,164,Human,13,13,3,1.0
antiwork/flexile,383,AI,30,2,1,0.06666666666666667
antiwork/flexile,228,Human,323,320,69,0.9907120743034056
antiwork/flexile,341,AI,45,16,5,0.35555555555555557
antiwork/flexile,310,Human,11,11,3,1.0
antiwork/flexile,442,AI,3,0,0,0.0
antiwork/flexile,414,Human,1,0,0,0.0
antiwork/flexile,615,AI,73,4,8,0.0547945205479452
antiwork/flexile,90,Human,1756,1711,167,0.974373576309795
antiwork/flexile,634,AI,3,2,2,0.6666666666666666
antiwork/flexile,194,Human,208,186,29,0.8942307692307693
antiwork/flexile,227,AI,1127,1126,83,0.9991126885536823
antiwork/flexile,399,Human,704,245,39,0.34801136363636365
antiwork/flexile,385,AI,71,70,4,0.9859154929577465
antiwork/flexile,144,Human,27,27,2,1.0
antiwork/flexile,309,AI,7,0,0,0.0
antiwork/flexile,404,Human,13,8,26,0.6153846153846154
featureform/enrichmcp,48,AI,2140,157,43,0.07336448598130842
featureform/enrichmcp,49,AI,2140,157,43,0.07336448598130842
featureform/enrichmcp,59,AI,9,2,4,0.2222222222222222
featureform/enrichmcp,54,AI,2140,157,43,0.07336448598130842
featureform/enrichmcp,93,AI,246,8,4,0.032520325203252036
featureform/enrichmcp,147,AI,1,0,0,0.0
featureform/enrichmcp,97,AI,2,0,0,0.0
featureform/enrichmcp,57,AI,2140,157,43,0.07336448598130842
featureform/enrichmcp,90,Human,166,4,1,0.024096385542168676
featureform/enrichmcp,146,AI,42,0,0,0.0
bionic-gpt/bionic-gpt,954,AI,20,0,0,0.0
bionic-gpt/bionic-gpt,764,Human,510,448,64,0.8784313725490196
bionic-gpt/bionic-gpt,800,AI,7,7,1,1.0
bionic-gpt/bionic-gpt,807,Human,1930,1027,57,0.5321243523316063
bionic-gpt/bionic-gpt,891,AI,195,23,9,0.11794871794871795
bionic-gpt/bionic-gpt,895,Human,10,0,0,0.0
bionic-gpt/bionic-gpt,829,AI,430,179,20,0.41627906976744183
bionic-gpt/bionic-gpt,890,Human,10,0,0,0.0
bionic-gpt/bionic-gpt,903,AI,68,0,0,0.0
bionic-gpt/bionic-gpt,774,Human,611,541,53,0.8854337152209493
bionic-gpt/bionic-gpt,957,AI,75,0,0,0.0
bionic-gpt/bionic-gpt,891,Human,195,23,9,0.11794871794871795
bionic-gpt/bionic-gpt,952,AI,8,0,0,0.0
bionic-gpt/bionic-gpt,804,Human,885,263,69,0.29717514124293787
bionic-gpt/bionic-gpt,906,AI,7,0,0,0.0
bionic-gpt/bionic-gpt,770,Human,48,47,2,0.9791666666666666
bionic-gpt/bionic-gpt,870,AI,78,13,7,0.16666666666666666
bionic-gpt/bionic-gpt,734,Human,702,582,54,0.8290598290598291
dotnet/aspire,9995,AI,398,203,36,0.5100502512562815
dotnet/aspire,9191,Human,56,9,3,0.16071428571428573
dotnet/aspire,10064,AI,81,1,2,0.012345679012345678
dotnet/aspire,9369,Human,29,29,7,1.0
dotnet/aspire,7861,Human,252,89,15,0.3531746031746032
dotnet/aspire,9776,AI,1,0,0,0.0
dotnet/aspire,8323,Human,14,0,0,0.0
dotnet/aspire,9815,AI,268,0,0,0.0
dotnet/aspire,8995,Human,20,20,5,1.0
dotnet/aspire,10152,AI,127,3,2,0.023622047244094488
dotnet/aspire,7961,Human,24,2,1,0.08333333333333333
dotnet/aspire,9509,AI,87,23,9,0.26436781609195403
dotnet/aspire,8318,Human,9,3,7,0.3333333333333333
dotnet/aspire,9872,AI,2,0,1,0.0
dotnet/aspire,7782,Human,70,0,0,0.0
