repo,pr,type,added,churned,events,ratio
antiwork/flexile,446,AI,1,1,1,1.0
antiwork/flexile,373,Human,525,238,61,0.4533333333333333
antiwork/flexile,178,AI,22,22,2,1.0
antiwork/flexile,164,Human,13,13,3,1.0
antiwork/flexile,383,AI,30,2,1,0.06666666666666667
antiwork/flexile,399,Human,704,245,39,0.34801136363636365
antiwork/flexile,341,AI,45,16,5,0.35555555555555557
antiwork/flexile,310,Human,11,11,3,1.0
antiwork/flexile,442,AI,3,0,0,0.0
antiwork/flexile,414,Human,1,0,0,0.0
antiwork/flexile,227,AI,1127,1126,83,0.9991126885536823
antiwork/flexile,228,Human,323,320,69,0.9907120743034056
antiwork/flexile,385,AI,71,70,4,0.9859154929577465
antiwork/flexile,404,Human,13,8,26,0.6153846153846154
antiwork/flexile,309,AI,7,0,0,0.0
antiwork/flexile,268,Human,13,13,5,1.0
antiwork/flexile,379,AI,3,0,1,0.0
antiwork/flexile,313,Human,56,9,7,0.16071428571428573
antiwork/flexile,324,AI,11,10,12,0.9090909090909091
antiwork/flexile,245,Human,62,59,5,0.9516129032258065
GlareDB/glaredb,3577,AI,37,4,4,0.10810810810810811
GlareDB/glaredb,3642,Human,37,6,2,0.16216216216216217
GlareDB/glaredb,3884,AI,247,0,0,0.0
GlareDB/glaredb,3897,Human,373,360,39,0.9651474530831099
GlareDB/glaredb,3769,AI,127,10,2,0.07874015748031496
GlareDB/glaredb,3887,Human,74,0,0,0.0
GlareDB/glaredb,3892,AI,142,60,2,0.4225352112676056
GlareDB/glaredb,3894,Human,432,335,12,0.7754629629629629
GlareDB/glaredb,3955,AI,26,0,0,0.0
GlareDB/glaredb,3899,Human,184,169,11,0.9184782608695652
GlareDB/glaredb,3550,AI,96,41,6,0.4270833333333333
GlareDB/glaredb,3503,Human,100,100,63,1.0
GlareDB/glaredb,3886,AI,146,3,6,0.02054794520547945
GlareDB/glaredb,3767,Human,46,5,5,0.10869565217391304
GlareDB/glaredb,3880,AI,253,141,4,0.5573122529644269
GlareDB/glaredb,3794,Human,269,34,15,0.12639405204460966
bionic-gpt/bionic-gpt,954,AI,20,0,0,0.0
bionic-gpt/bionic-gpt,893,Human,32,0,1,0.0
bionic-gpt/bionic-gpt,800,AI,7,7,1,1.0
bionic-gpt/bionic-gpt,764,Human,510,448,64,0.8784313725490196
bionic-gpt/bionic-gpt,891,AI,195,23,9,0.11794871794871795
bionic-gpt/bionic-gpt,895,Human,10,0,0,0.0
bionic-gpt/bionic-gpt,829,AI,430,179,20,0.41627906976744183
bionic-gpt/bionic-gpt,890,Human,10,0,0,0.0
bionic-gpt/bionic-gpt,903,AI,68,0,0,0.0
bionic-gpt/bionic-gpt,774,Human,611,541,53,0.8854337152209493
bionic-gpt/bionic-gpt,952,AI,8,0,0,0.0
bionic-gpt/bionic-gpt,887,Human,339,18,5,0.05309734513274336
bionic-gpt/bionic-gpt,906,AI,7,0,0,0.0
bionic-gpt/bionic-gpt,807,Human,1930,1027,57,0.5321243523316063
bionic-gpt/bionic-gpt,870,AI,78,13,7,0.16666666666666666
bionic-gpt/bionic-gpt,804,Human,885,263,69,0.29717514124293787
bionic-gpt/bionic-gpt,844,AI,1,1,0,1.0
bionic-gpt/bionic-gpt,770,Human,48,47,2,0.9791666666666666
bionic-gpt/bionic-gpt,912,AI,223,223,22,1.0
bionic-gpt/bionic-gpt,891,Human,195,23,9,0.11794871794871795
bionic-gpt/bionic-gpt,775,Human,42,4,9,0.09523809523809523
bionic-gpt/bionic-gpt,854,AI,11,3,1,0.2727272727272727
bionic-gpt/bionic-gpt,886,Human,119,0,0,0.0
dotnet/aspire,9995,AI,398,203,36,0.5100502512562815
dotnet/aspire,9779,Human,167,1,1,0.005988023952095809
